country,id,lat,lng,name,Temperature,Humidity,Cloudiness,Wind Speed
CN,1793482,28.11644,114.215683,Tanbu,59.36,60,8,6.53
DE,2942986,53.399712,14.12533,Brussow,32,95,75,5.82
AZ,147784,39.430119,49.101662,Xilli,49.69,97,0,4.34
PG,2094746,-6.21667,149.550003,Kandrian,83.98,77,92,4
ES,3117474,42.571541,-1.57465,Maquirriain,44.51,52,20,12.75
ES,3129690,43.01667,-2.51667,Areitio,50.16,74,20,3.36
CN,1809675,29.558729,112.009911,Guanyuan,59.23,85,24,7.43
RO,686025,46.333328,25.01667,Avramesti,33.8,100,44,8.05
ID,7083162,-8.1848,113.726997,Kloncing,80.33,84,76,2.89
DE,6555495,48.906658,9.4685,Allmersbach im Tal,36.57,93,40,4.7
DE,6554340,49.900002,6.88333,Klausen,34.72,96,40,8.05
AU,2176357,-37.916672,145.350006,Belgrave Heights,86.86,18,0,12.75
AU,2157748,-43.23333,147.283325,Middleton,68,68,20,16.11
DE,2908459,50.450001,6.51667,Hecken,35.37,95,64,4.7
PH,1719386,8.19556,125.144722,Canayan,82.18,72,20,5.57
US,4147258,27.92141,-82.817047,Belleair Bluffs,60.17,62,40,6.93
FR,2969561,47.583328,5.83333,Arrondissement de Vesoul,37.4,93,90,4.7
ES,6355933,38.478859,-6.17984,Hinojosa del Valle,53.56,98,92,12.95
ES,3126768,41.42992,-3.54599,Campo de San Pedro,34.93,100,76,3.4
US,4287235,37.136719,-85.956917,Cave City,35.01,64,75,5.82
CZ,3068706,49.086418,16.81443,Otnice,34.92,76,44,2.24
IL,295515,31.783331,34.75,Bene Ayish,67.1,44,0,5.82
AU,2169789,-33.299999,150.016663,Cullen Bullen,65.12,66,0,4.79
RO,674696,47.566669,26.200001,Liteni,35.6,80,64,4.7
US,4902748,41.23032,-89.645103,Morse,24.39,68,1,10.29
EG,349598,30.375561,32.291111,Sar?biy?m,73.18,40,12,6.13
ID,7781161,-6.3731,105.960701,Kaduronyok,83.71,81,68,5.53
PL,757376,50.119148,20.636101,Szczurowa,30.2,92,48,1.12
BR,3445304,-22.219721,-49.819439,Vera Cruz,69.26,94,12,7.76
TH,1153513,13.51824,99.954689,Damnoen Saduak,85.91,100,0,5.41
US,5119076,43.407848,-73.259552,Granville,29.75,92,90,9.17
AT,2771533,47.3237,10.15463,Mittelberg,31.41,80,90,2.24
EE,591523,59.48333,24.9,Kasti,23,73,90,11.41
BG,727925,42.799999,27.450001,Prosenik,43.65,93,0,3.36
FR,3028401,43.383331,-0.01667,Casteide-Doat,37.47,87,90,2.24
ES,3114909,42.816368,-1.74786,Ororbia,50.41,52,20,12.75
DE,2809715,48.01667,11.2,Widdersberg,35.98,96,44,11.41
BR,3395689,-7.70611,-38.154442,Manaira,67.96,100,92,3.74
US,4091136,30.67491,-87.915268,Spanish Fort,43.63,57,1,4.7
ID,1641857,-6.9954,112.400398,Kalitengah,88.21,79,12,6.58
JP,1851292,37.349998,139.316666,Tadami,46.4,81,75,14.99
GB,3333156,51.54702,-0.10944,Islington,41.68,87,0,8.05
DE,2865629,54.116669,13.38333,Neuenkirchen,29.71,96,80,6.58
US,4165869,28.244181,-82.719269,New Port Richey,59.25,62,40,6.93
PH,1725812,6.64889,124.873062,Bayasong,96.17,37,44,4.63
RO,664686,44.01667,24.450001,Traian,32,75,48,4.7
AR,3430102,-34.656219,-58.75898,Paso del Rey,62.6,71,0,1.12
CO,3673431,5.13969,-73.397392,Pachavita,50.14,96,76,1.05
CN,1805879,29.751841,118.723778,Xinmen,48.83,67,0,3.89
MX,3532185,18.48333,-88.316673,Boca Río Hondo,75.2,83,40,6.31
JP,1854029,33.98333,134.366669,Ono,48.2,100,75,6.93
IT,3219958,46.033058,13.47472,Dalegna del Collio,40.78,100,56,4.7
UA,704705,50.068642,34.758621,Kotel’va,33.62,95,88,5.86
AT,7872158,47.834049,13.41533,Innerschwand,35.6,93,75,4.7
ZA,944385,-26.67313,27.926149,Vereeniging,60.8,97,88,3.89
MX,3514906,19.4,-96.349998,Ursulo Galvan,65.93,83,8,1.88
FR,3038151,44.627949,0.2902,Allemans-du-Dropt,35.73,91,0,3.36
ES,2513076,38.084831,-0.94401,Orihuela,51.8,87,90,3.36
DE,6553374,50.716702,7.98333,Derschen,35.6,80,20,8.05
US,4960091,43.193699,-70.620888,Cape Neddick,32.11,100,90,13.87
NO,3156091,60.200001,11.05,Garder,25.25,89,92,5.41
FI,659554,64.133331,25.366671,Haapavesi,10.94,78,80,6.24
FR,2994428,48.784451,1.81247,Mere,40.32,93,90,13.87
FR,2993605,45.3283,5.55342,Moirans,33.39,92,0,9.17
GR,6697808,36.686039,25.6311,South Aegean,57.22,71,20,17.22
IT,6542094,41.218311,13.56281,Gaeta,42.8,81,0,5.86
DE,2833413,49.866669,12.2,Seidlersreuth,37.22,97,90,10.29
